plz5,city_name,customer_count
01053,Dresden,87
01054,Dresden,80
01054,Rural Area / Others,1
01055,Dresden,87
01056,Dresden,82
01056,Rural Area / Others,1
01057,Dresden,84
01057,Rural Area / Others,2
01058,Dresden,80
01058,Rural Area / Others,1
01059,Dresden,82
01060,Dresden,106
01062,Dresden,75
01063,Dresden,68
01064,Dresden,82
01065,Dresden,90
01067,Dresden,80
01069,Dresden,82
01070,Dresden,75
01099,Rural Area / Others,1
01156,Rural Area / Others,1
01304,Rural Area / Others,1
01328,Rural Area / Others,1
01445,Rural Area / Others,1
01454,Rural Area / Others,1
01465,Rural Area / Others,1
01471,Rural Area / Others,1
01477,Rural Area / Others,1
01561,Rural Area / Others,1
01591,Rural Area / Others,1
01612,Rural Area / Others,1
01616,Rural Area / Others,1
01619,Rural Area / Others,2
01623,Rural Area / Others,1
01640,Rural Area / Others,1
01665,Rural Area / Others,1
01728,Rural Area / Others,1
01738,Rural Area / Others,1
01762,Rural Area / Others,3
01809,Rural Area / Others,2
01829,Rural Area / Others,1
01848,Rural Area / Others,2
01906,Rural Area / Others,1
01936,Rural Area / Others,1
01945,Rural Area / Others,2
01979,Rural Area / Others,1
01987,Rural Area / Others,1
02625,Rural Area / Others,1
02689,Rural Area / Others,2
02692,Rural Area / Others,1
02733,Rural Area / Others,1
02796,Rural Area / Others,1
02826,Görlitz,37
02827,Görlitz,31
02828,Görlitz,31
02829,Görlitz,22
02894,Rural Area / Others,2
02906,Rural Area / Others,2
02923,Rural Area / Others,1
02956,Rural Area / Others,1
02957,Rural Area / Others,1
02979,Rural Area / Others,1
02991,Rural Area / Others,1
03039,Cottbus/Chóśebuz,23
03039,Rural Area / Others,1
03042,Cottbus/Chóśebuz,17
03042,Rural Area / Others,1
03044,Cottbus/Chóśebuz,14
03046,Cottbus/Chóśebuz,11
03048,Cottbus/Chóśebuz,17
03050,Cottbus/Chóśebuz,13
03051,Cottbus/Chóśebuz,18
03052,Cottbus/Chóśebuz,23
03053,Cottbus/Chóśebuz,12
03054,Cottbus/Chóśebuz,13
03055,Cottbus/Chóśebuz,12
03058,Cottbus/Chóśebuz,16
03065,Cottbus/Chóśebuz,19
03096,Rural Area / Others,2
03099,Rural Area / Others,1
03119,Rural Area / Others,1
03139,Rural Area / Others,2
03172,Rural Area / Others,1
03197,Rural Area / Others,1
03238,Rural Area / Others,1
04056,Leipzig,67
04056,Rural Area / Others,1
04063,Leipzig,58
04064,Leipzig,48
04079,Leipzig,67
04079,Rural Area / Others,1
04080,Leipzig,65
04080,Rural Area / Others,1
04081,Leipzig,57
04081,Rural Area / Others,1
04082,Leipzig,52
04083,Leipzig,47
04084,Leipzig,60
04086,Leipzig,75
04087,Leipzig,55
04087,Rural Area / Others,1
04088,Leipzig,59
04089,Leipzig,48
04091,Leipzig,52
04091,Rural Area / Others,1
04092,Leipzig,51
04095,Leipzig,71
04095,Rural Area / Others,1
04097,Leipzig,61
04103,Leipzig,63
04105,Leipzig,59
04107,Leipzig,58
04109,Leipzig,80
04129,Leipzig,50
04129,Rural Area / Others,1
04150,Leipzig,50
04151,Leipzig,58
04151,Rural Area / Others,1
04155,Leipzig,50
04157,Leipzig,53
04157,Rural Area / Others,1
04158,Leipzig,62
04158,Rural Area / Others,1
04159,Leipzig,60
04159,Rural Area / Others,1
04160,Leipzig,56
04160,Rural Area / Others,1
04177,Leipzig,57
04178,Leipzig,45
04179,Leipzig,62
04205,Rural Area / Others,1
04207,Rural Area / Others,1
04227,Rural Area / Others,1
04249,Rural Area / Others,1
04310,Rural Area / Others,2
04311,Rural Area / Others,1
04315,Rural Area / Others,1
04317,Rural Area / Others,1
04318,Rural Area / Others,1
04319,Rural Area / Others,1
04357,Rural Area / Others,1
04370,Rural Area / Others,1
04416,Rural Area / Others,1
04420,Rural Area / Others,1
04425,Rural Area / Others,1
04442,Rural Area / Others,2
04463,Rural Area / Others,1
04564,Rural Area / Others,1
04610,Rural Area / Others,1
04720,Rural Area / Others,2
04736,Rural Area / Others,1
04758,Rural Area / Others,2
04828,Rural Area / Others,1
04931,Rural Area / Others,1
04936,Rural Area / Others,1
06089,Halle (Saale),25
06089,Rural Area / Others,1
06090,Halle (Saale),22
06091,Halle (Saale),26
06092,Halle (Saale),28
06092,Rural Area / Others,1
06094,Halle (Saale),19
06094,Rural Area / Others,1
06095,Halle (Saale),27
06097,Halle (Saale),23
06097,Rural Area / Others,2
06098,Halle (Saale),18
06099,Halle (Saale),23
06100,Halle (Saale),13
06103,Halle (Saale),16
06104,Halle (Saale),28
06105,Halle (Saale),15
06106,Halle (Saale),17
06108,Halle (Saale),18
06108,Rural Area / Others,1
06110,Halle (Saale),16
06112,Halle (Saale),17
06114,Halle (Saale),19
06116,Halle (Saale),17
06118,Halle (Saale),21
06120,Halle (Saale),28
06122,Halle (Saale),12
06124,Halle (Saale),19
06126,Halle (Saale),13
06128,Halle (Saale),18
06130,Rural Area / Others,1
06132,Rural Area / Others,1
06145,Rural Area / Others,1
06146,Rural Area / Others,2
06147,Rural Area / Others,1
06184,Rural Area / Others,2
06188,Rural Area / Others,1
06198,Rural Area / Others,1
