city_name,plz,city_type,patients_covered_weighted,patients_covered_total
Düsseldorf,40213,Top 200,9581.69,13335
Berlin,10178,Top 200,11642.65,11784
Bergisch Gladbach,51465,Top 200,6502.48,8281
Dinslaken,46535,Top 200,5578.24,7470
Bargteheide,22941,Standard,4421.92,6238
Unna,59423,Top 200,4242.26,5584
Fürstenfeldbruck,82256,Standard,3885.06,5482
Mainz,55116,Top 200,2796.73,3920
Friedberg (Hessen),61169,Standard,2437.0,3492
Esslingen am Neckar,73728,Top 200,3053.4,3432
Delmenhorst,27749,Top 200,2104.99,2396
Halle (Saale),06108,Top 200,1557.58,2256
Düren,52349,Top 200,1576.14,2224
Gütersloh,33330,Top 200,1418.91,1940
Erlangen,91051,Top 200,1676.31,1846
Bad Dürkheim,67098,Standard,1250.91,1820
Hannover,30159,Top 200,1609.3,1774
Kraichtal,76703,Standard,1056.65,1773
Dresden,01067,Top 200,1374.74,1381
Braunschweig,38100,Top 200,1163.63,1323
Ibbenbüren,49477,Top 200,785.72,1140
Zwickau,08056,Top 200,662.73,1021
Elzach,79215,Standard,618.36,947
Weimar,99423,Top 200,729.82,893
Heidenheim an der Brenz,89522,Top 200,569.38,790
Kiel,24103,Top 200,699.8,773
Hann. Münden,34346,Standard,604.85,745
Barby,39249,Standard,518.55,731
Neustadt a.d.Donau,93333,Standard,403.57,655
Bremerhaven,27576,Top 200,438.79,579
