id_nr,id_key,city_name,city_type,plz,city_area_squared_km,population_total,population_male,population_female,population_per_squared_km
1,110000000000,Berlin,Stadt,10178,891.12,3685265,1810259,1875006,4136.0
2,20000000000,Hamburg,Freie und Hansestadt,20038,755.09,1862565,911888,950677,2467.0
3,91620000000,München,Landeshauptstadt,80313,310.7,1505005,737442,767563,4844.0
4,53150000000,Köln,Stadt,50667,405.02,1024621,498050,526571,2530.0
5,64120000000,Frankfurt am Main,Stadt,60311,248.31,756021,371235,384786,3045.0
6,51110000000,Düsseldorf,Stadt,40213,217.41,618685,299070,319615,2846.0
7,81110000000,Stuttgart,Landeshauptstadt,70173,207.33,612663,304725,307938,2955.0
8,147130000000,Leipzig,Stadt,04109,297.8,611850,301582,310268,2055.0
9,59130000000,Dortmund,Stadt,44135,280.71,603462,297860,305602,2150.0
10,40110000000,Bremen,Stadt,28195,318.2,586271,289585,296686,1842.0
11,51130000000,Essen,Stadt,45121,210.34,574682,279666,295016,2732.0
12,146120000000,Dresden,Stadt,01067,328.48,564904,280262,284642,1720.0
13,95640000000,Nürnberg,,90403,186.44,529508,260358,269150,2840.0
14,32410001001,Hannover,Landeshauptstadt,30159,204.3,522131,256255,265876,2556.0
15,51120000000,Duisburg,Stadt,47051,232.84,502270,249294,252976,2157.0
16,59110000000,Bochum,Stadt,44787,145.66,358676,176530,182146,2462.0
17,51240000000,Wuppertal,Stadt,42275,168.39,358193,176780,181413,2127.0
18,57110000000,Bielefeld,Stadt,33602,258.83,331605,161011,170594,1281.0
19,53140000000,Bonn,Stadt,53111,141.06,323336,155766,167570,2292.0
20,82220000000,Mannheim,Universitätsstadt,68159,144.97,318035,159246,158789,2194.0
21,82120000000,Karlsruhe,Stadt,76133,173.42,309050,156995,152055,1782.0
22,55150000000,Münster,Stadt,48143,303.28,308258,147463,160795,1016.0
23,97610000000,Augsburg,,86150,146.85,301105,148796,152309,2050.0
24,64140000000,Wiesbaden,Landeshauptstadt,65183,203.87,288850,139893,148957,1417.0
25,55130000000,Gelsenkirchen,Stadt,45879,104.94,267930,132550,135380,2553.0
26,51160000000,Mönchengladbach,Stadt,41061,170.47,267213,132876,134337,1568.0
27,53340002002,Aachen,Stadt,52058,160.85,262670,137292,125378,1633.0
28,31010000000,Braunschweig,Stadt,38100,192.7,252962,125170,127792,1313.0
29,10020000000,Kiel,Landeshauptstadt,24103,118.65,252668,123532,129136,2130.0
30,145110000000,Chemnitz,Stadt,09111,221.03,245618,120585,125033,1111.0
31,150030000000,Magdeburg,Landeshauptstadt,39104,201.68,244329,121201,123128,1211.0
32,83110000000,Freiburg im Breisgau,Stadt,79098,153.04,237460,113047,124413,1552.0
33,51140000000,Krefeld,Stadt,47798,137.77,231406,113754,117652,1680.0
34,150020000000,Halle (Saale),Stadt,06108,135.56,226767,109591,117176,1673.0
35,73150000000,Mainz,Stadt,55116,97.73,224684,109498,115186,2299.0
36,160510000000,Erfurt,Stadt,99084,269.91,218793,106836,111957,811.0
37,10030000000,Lübeck,Hansestadt,23539,214.19,216889,104309,112580,1013.0
38,51190000000,Oberhausen,Stadt,46045,77.09,213646,103882,109764,2771.0
39,130030000000,Rostock,Hanse- und Universitätsstadt,18055,181.36,205307,100104,105203,1132.0
40,66110000000,Kassel,documenta-Stadt,34117,106.79,197230,95933,101297,1847.0
41,59140000000,Hagen,Stadt der FernUniversität,58095,160.45,190384,93728,96656,1187.0
42,120540000000,Potsdam,Stadt,14469,188.24,184754,89228,95526,981.0
43,100410100100,Saarbrücken,Landeshauptstadt,66111,167.52,182971,91230,91741,1092.0
44,59150000000,Hamm,Stadt,59065,226.66,179968,89142,90826,794.0
45,73140000000,Ludwigshafen am Rhein,Stadt,67059,77.43,177222,89845,87377,2289.0
46,34030000000,Oldenburg (Oldenburg),Stadt,26105,103.09,176614,85370,91244,1713.0
47,51170000000,Mülheim an der Ruhr,Stadt,45468,91.28,173050,83996,89054,1896.0
48,53160000000,Leverkusen,Stadt,51373,78.87,168581,82966,85615,2137.0
49,64110000000,Darmstadt,Wissenschaftsstadt,64283,122.07,167029,85330,81699,1368.0
50,34040000000,Osnabrück,Stadt,49074,119.8,166057,80775,85282,1386.0
51,51220000000,Solingen,Klingenstadt,42651,89.54,165626,81112,84514,1850.0
52,57740032032,Paderborn,Stadt,33104,179.59,156378,78031,78347,871.0
53,59160000000,Herne,Stadt,44623,51.42,155851,76396,79455,3031.0
54,82210000000,Heidelberg,Stadt,69117,108.83,155756,74597,81159,1431.0
55,51620024024,Neuss,Stadt,41460,99.52,154317,75300,79017,1551.0
56,93620000000,Regensburg,,93019,80.86,151389,74600,76789,1872.0
57,91610000000,Ingolstadt,,85047,133.35,141185,71791,69394,1059.0
58,82310000000,Pforzheim,Stadt,75175,97.99,134912,66418,68494,1377.0
59,96630000000,Würzburg,,97070,87.6,133258,63762,69496,1521.0
60,64130000000,Offenbach am Main,Stadt,63065,44.88,132746,66705,66041,2958.0
61,95630000000,Fürth,,90744,63.35,132036,65040,66996,2084.0
62,81210000000,Heilbronn,Universitätsstadt,74072,99.89,131986,66833,65153,1321.0
63,84210000000,Ulm,Universitätsstadt,89073,118.68,129882,64087,65795,1094.0
64,31030000000,Wolfsburg,Stadt,38440,204.62,129560,64754,64806,633.0
65,31590016016,Göttingen,Stadt,37083,117.02,127259,62429,64830,1087.0
66,84150061061,Reutlingen,Stadt,72764,87.04,118852,58826,60026,1365.0
67,40120000000,Bremerhaven,Stadt,27576,101.41,118610,59076,59534,1170.0
68,55120000000,Bottrop,Stadt,46236,100.61,118535,57615,60920,1178.0
69,95620000000,Erlangen,,91051,76.96,115928,57672,58256,1506.0
70,55620032032,Recklinghausen,Stadt,45657,66.5,115344,56156,59188,1734.0
71,51200000000,Remscheid,Stadt,42853,74.52,113828,56768,57060,1527.0
72,71110000000,Koblenz,Stadt,56068,105.25,113378,56150,57228,1077.0
