city_name,plz,lat,lon,city_type,customers_covered_weighted,customers_covered_total
Duisburg,47051,51.4294,6.7744,Top 200,10341.12,13002
Potsdam,14469,52.4091,12.9899,Top 200,8261.55,11915
Bergisch Gladbach,51465,50.9891,7.129,Top 200,8162.19,10094
Schwarzenbek,21493,53.5513923076923,10.510546153846152,Standard,4040.95,6334
Unna,59423,51.5302,7.676,Top 200,5004.24,6053
Olching,82140,48.2,11.3333,Standard,4887.6,5537
Düren,52349,50.8009,6.4788,Top 200,3381.02,5148
Frankfurt am Main,60311,50.1112,8.6831,Top 200,4217.29,4782
Ditzingen,71254,48.8267,9.067,Standard,3466.38,3908
Peine,31224,52.3233,10.2307,Top 200,2037.42,2815
Elsfleth,26931,53.2375,8.4566,Standard,1984.73,2714
Speyer,67346,49.3208,8.4311,Top 200,2143.38,2641
Leipzig,04109,51.342,12.375,Top 200,2060.25,2248
Detmold,32756,51.936,8.8783,Top 200,1609.89,2117
Erlangen,91051,49.57962692307693,11.001665384615384,Top 200,1842.81,1929
Ibbenbüren,49477,52.2601,7.7135,Top 200,1055.07,1433
Dresden,01067,51.0547,13.7269,Top 200,1393.05,1402
Zwickau,08056,50.7114,12.4928,Top 200,822.08,1141
Elzach,79215,48.18625,8.0516,Standard,734.04,992
Heidenheim an der Brenz,89522,48.6833,10.15,Top 200,740.88,972
Weimar,99423,50.9804,11.3263,Top 200,807.84,898
Neumünster,24534,54.0725,9.9828,Top 200,654.84,856
Abensberg,93326,48.8168,11.8498,Standard,539.97,797
Westerburg,56457,50.577666666666666,7.9714,Standard,478.84,797
Kassel,34117,51.3166,9.4912,Top 200,585.06,687
